total_time adv_vel_time diffuse_time adv_part_time
0.642512 1.1367e-05 1.2067e-05 4.921e-06
1.61511 1.4677e-05 1.1982e-05 5.606e-06
0.475194 2.436e-06 1.1319e-05 4.198e-06
0.197934 2.712e-06 1.0773e-05 3.981e-06
0.197678 3.852e-06 9.77e-06 5.001e-06
0.196434 8.63e-06 1.016e-05 4.661e-06
0.195056 7.852e-06 1.0503e-05 4.347e-06
0.195687 1.9547e-05 9.557e-06 4.703e-06
0.195237 7.87e-06 1.0006e-05 3.968e-06
0.199417 8.252e-06 1.0591e-05 4.349e-06
0.198531 8.139e-06 1.065e-05 4.298e-06
0.198107 8.187e-06 9.769e-06 4.757e-06
0.198092 7.352e-06 1.0259e-05 4.846e-06
0.197984 8.569e-06 1.0484e-05 4.013e-06
0.200049 1.5206e-05 1.1481e-05 4.644e-06
0.198143 8.285e-06 1.0919e-05 5.068e-06
0.198625 8.145e-06 1.2195e-05 4.245e-06
0.19946 9.879e-06 1.0536e-05 4.043e-06
0.20316 2.467e-06 1.2132e-05 3.687e-06
0.198774 4.617e-06 1.2108e-05 4.165e-06
0.198076 9.816e-06 1.09e-05 4.771e-06
0.197999 1.0868e-05 9.932e-06 5.621e-06
0.198501 8.221e-06 1.1714e-05 4.459e-06
0.197702 8.082e-06 1.0247e-05 3.825e-06
0.198252 8.745e-06 9.377e-06 4.477e-06
0.19803 7.808e-06 1.0108e-05 4.706e-06
0.198231 7.668e-06 9.881e-06 5.139e-06
0.198865 8.211e-06 9.896e-06 3.698e-06
0.19815 7.716e-06 9.24e-06 4.778e-06
0.198746 1.6542e-05 1.0972e-05 5.417e-06
0.19922 2.271e-06 9.838e-06 4.055e-06
0.198429 3.299e-06 9.053e-06 3.879e-06
0.198466 1.0122e-05 9.268e-06 3.891e-06
0.198686 8.399e-06 9.574e-06 5.274e-06
0.198294 1.0475e-05 9.175e-06 4.493e-06
0.198188 7.422e-06 8.957e-06 4.81e-06
0.19806 7.931e-06 8.982e-06 4.289e-06
0.198414 7.729e-06 9.447e-06 4.411e-06
0.198314 7.68e-06 9.868e-06 3.813e-06
0.198602 8.204e-06 1.0984e-05 4.567e-06
0.198379 8.054e-06 9.835e-06 4.526e-06
0.198719 8.674e-06 9.161e-06 4.19e-06
0.198256 7.658e-06 8.754e-06 3.778e-06
0.198143 7.721e-06 1.0423e-05 4.279e-06
0.198103 8.796e-06 9.41e-06 4.41e-06
0.198034 7.995e-06 8.817e-06 4.951e-06
0.198399 7.995e-06 9.115e-06 4.958e-06
0.197278 8.093e-06 9.005e-06 5.618e-06
0.19466 8.229e-06 8.593e-06 4.578e-06
0.196812 8.171e-06 8.77e-06 4.906e-06
0.194113 7.758e-06 8.695e-06 5.265e-06
0.196991 7.729e-06 9.039e-06 4.995e-06
0.194784 7.799e-06 8.046e-06 4.301e-06
0.194481 7.136e-06 8.646e-06 4.73e-06
0.194926 7.886e-06 8.595e-06 4.14e-06
0.194921 8.15e-06 9.044e-06 5.113e-06
0.195854 7.44e-06 1.0577e-05 4.051e-06
0.19828 8.635e-06 1.081e-05 5.232e-06
0.198129 8.206e-06 9.266e-06 4.453e-06
0.198094 1.0011e-05 9.033e-06 3.898e-06
0.198839 9.092e-06 1.1056e-05 4.513e-06
0.197947 8.223e-06 8.928e-06 4.54e-06
0.198284 8.143e-06 1.1271e-05 4.65e-06
0.197959 7.935e-06 8.617e-06 4.619e-06
0.198214 7.383e-06 9.142e-06 3.979e-06
0.19786 1.0304e-05 8.914e-06 3.932e-06
0.197894 2.237e-06 8.923e-06 5.16e-06
0.198105 2.301e-06 1.0434e-05 4.454e-06
0.195709 3.444e-06 8.801e-06 4.827e-06
0.197444 7.844e-06 9.333e-06 4.833e-06
0.194715 7.868e-06 8.937e-06 3.85e-06
0.195337 1.179e-05 1.0191e-05 4.515e-06
0.199152 8.715e-06 1.1016e-05 4.194e-06
0.198706 7.817e-06 1.1816e-05 4.839e-06
0.198624 8.993e-06 9.466e-06 4.641e-06
0.198781 8.616e-06 9.805e-06 4.631e-06
0.198361 7.826e-06 1.1475e-05 4.767e-06
0.198029 8.129e-06 8.812e-06 4.342e-06
0.198158 8.361e-06 9.147e-06 5.426e-06
0.19856 1.0202e-05 1.1224e-05 5.806e-06
0.198217 8.93e-06 1.0087e-05 4.315e-06
0.198449 2.654e-06 1.0301e-05 3.992e-06
0.198238 2.473e-06 1.0351e-05 4.315e-06
0.198395 2.353e-06 9.486e-06 5.018e-06
0.196912 3.409e-06 8.749e-06 5.031e-06
0.196641 7.746e-06 8.394e-06 5.21e-06
0.199326 9.841e-06 9.843e-06 4.828e-06
0.198077 8.584e-06 1.0458e-05 4.737e-06
0.197715 8.131e-06 9.745e-06 4.323e-06
0.197976 7.592e-06 1.0187e-05 4.634e-06
0.197757 8.923e-06 1.0545e-05 5.159e-06
0.196911 8.453e-06 1.0871e-05 4.596e-06
0.198695 8.262e-06 9.317e-06 4.792e-06
0.19808 8.935e-06 1.1401e-05 4.545e-06
0.198215 9.35e-06 1.031e-05 5.296e-06
0.197764 1.0799e-05 1.0162e-05 5.608e-06
0.198115 8.406e-06 1.0151e-05 5.119e-06
0.19871 1.0842e-05 1.1938e-05 4.914e-06
0.19931 8.732e-06 1.084e-05 4.713e-06
0.19768 9.368e-06 9.904e-06 4.382e-06
